,aff_no,age,Act1,Act2,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,roomate,famrel,freetime,goout,Dalc,Walc,health,absences,hindi_mrk(10),eng_mrk(10),socil_mrk(10),sci_mrk(10),skt_mrk(10),math_mrk(10),perc(total_avg),site_sel,G1_11F,G2 _11S,G3_12,SugSite,NewSite,G4_12S
0,1130144.0,18.0,4.0,4.0,2.0,2.0,0.0,1,0,0,,,,,,4.0,3.0,4.0,1.0,1.0,3.0,6.0,39.0,25.0,26.0,82.0,76.0,26.0,45.66666667,0,67.0,91.0,67.0,No,0,87.860634
1,930205.0,17.0,1.0,1.0,1.0,2.0,0.0,0,1,0,,,,,,5.0,3.0,3.0,1.0,1.0,3.0,4.0,45.0,84.0,65.0,46.0,94.0,27.0,60.16666667,1,79.33,78.33,79.33,No,1,91.0866
2,1630448.0,15.0,1.0,1.0,1.0,2.0,3.0,1,0,1,,,,,,4.0,3.0,2.0,2.0,3.0,3.0,10.0,71.0,90.0,68.0,55.0,69.0,25.0,63.0,1,65.0,68.0,65.0,No,1,60.70674
3,2752028.0,15.0,4.0,2.0,1.0,3.0,0.0,0,1,1,,,,,,3.0,2.0,2.0,1.0,1.0,5.0,2.0,36.0,20.0,99.0,88.0,64.0,43.0,58.33333333,0,56.0,52.0,56.0,Yes,2,60.172134
4,2220160.0,16.0,3.0,3.0,1.0,2.0,0.0,0,1,1,,,,,,4.0,3.0,2.0,1.0,2.0,5.0,4.0,99.0,49.0,73.0,90.0,22.0,99.0,72.0,1,85.8,73.6,85.8,No,1,41.5299
5,2132343.0,16.0,4.0,3.0,1.0,2.0,0.0,0,1,1,,,,,,5.0,4.0,2.0,1.0,2.0,5.0,10.0,44.0,37.0,14.0,30.0,98.0,39.0,43.66666667,0,55.0,49.8,55.0,Yes,0,66.611946
6,330018.0,16.0,2.0,2.0,1.0,2.0,0.0,0,0,0,,,,,,4.0,4.0,4.0,1.0,1.0,3.0,0.0,58.0,40.0,30.0,71.0,47.0,21.0,44.5,0,46.0,49.2,46.0,Yes,1,88.30791
7,2730281.0,17.0,4.0,4.0,2.0,2.0,0.0,1,1,0,,,,,,4.0,1.0,4.0,1.0,1.0,1.0,6.0,89.0,97.0,48.0,87.0,74.0,14.0,68.16666667,1,82.0,64.0,82.0,No,1,61.78708
8,1030210.0,15.0,3.0,2.0,1.0,2.0,0.0,0,1,1,,,,,,4.0,2.0,2.0,1.0,1.0,1.0,0.0,92.0,19.0,77.0,4.0,62.0,36.0,48.33333333,0,73.0,79.0,73.0,No,0,95.56711
9,3430197.0,15.0,3.0,4.0,1.0,2.0,0.0,0,1,1,,,,,,5.0,5.0,1.0,1.0,1.0,5.0,0.0,77.0,65.0,19.0,94.0,20.0,44.0,53.16666667,0,58.0,70.0,58.0,Yes,2,85.56509
10,530469.0,15.0,4.0,4.0,1.0,2.0,0.0,0,1,1,,,,,,3.0,3.0,3.0,1.0,2.0,2.0,0.0,62.0,85.0,73.0,33.0,34.0,30.0,52.83333333,0,58.0,61.0,58.0,Yes,0,90.87744
11,1700018.0,15.0,2.0,1.0,3.0,3.0,0.0,0,1,0,,,,,,5.0,2.0,2.0,1.0,1.0,4.0,4.0,70.0,0.0,49.0,54.0,59.0,28.0,43.33333333,0,69.6,68.4,69.6,No,0,75.9442
12,1130499.0,15.0,4.0,4.0,1.0,1.0,0.0,0,1,1,,,,,,4.0,3.0,3.0,1.0,3.0,5.0,2.0,92.0,92.0,94.0,20.0,95.0,18.0,68.5,1,47.0,55.0,47.0,Yes,1,95.337616
13,1630822.0,15.0,4.0,3.0,2.0,2.0,0.0,0,1,1,,,,,,5.0,4.0,3.0,1.0,2.0,3.0,2.0,90.0,49.0,88.0,60.0,38.0,12.0,56.16666667,0,77.0,87.0,77.0,No,0,53.87552
14,930557.0,15.0,2.0,2.0,1.0,3.0,0.0,0,1,0,,,,,,4.0,5.0,2.0,1.0,1.0,3.0,0.0,29.0,48.0,74.0,93.0,35.0,22.0,50.16666667,0,62.0,47.0,62.0,No,0,59.698944
15,830770.0,16.0,4.0,4.0,1.0,1.0,0.0,0,1,0,,,,,,4.0,4.0,4.0,1.0,2.0,2.0,4.0,87.0,49.0,35.0,73.0,81.0,4.0,54.83333333,0,65.0,75.0,65.0,No,0,83.128944
16,2730550.0,16.0,4.0,4.0,1.0,3.0,0.0,0,1,1,,,,,,3.0,2.0,3.0,1.0,2.0,2.0,6.0,60.0,1.0,15.0,37.0,31.0,72.0,36.0,0,63.0,66.2,63.0,No,0,87.97566
17,2132804.0,16.0,3.0,3.0,3.0,2.0,0.0,1,1,0,,,,,,5.0,3.0,2.0,1.0,1.0,4.0,4.0,15.0,13.0,11.0,13.0,37.0,20.0,84.0,2,55.0,67.0,55.0,Yes,2,72.27094
18,3330107.0,17.0,3.0,2.0,1.0,1.0,3.0,0,1,0,,,,,,5.0,5.0,5.0,2.0,4.0,5.0,16.0,44.0,35.0,98.0,34.0,8.0,53.0,45.33333333,0,63.0,66.0,63.0,No,0,53.274284
19,1030583.0,16.0,4.0,3.0,1.0,1.0,0.0,0,0,1,,,,,,3.0,1.0,3.0,1.0,3.0,5.0,4.0,53.0,40.0,60.0,52.0,39.0,20.0,44.0,0,60.0,67.0,60.0,No,0,59.21403
20,5230004.0,15.0,4.0,3.0,1.0,2.0,0.0,0,0,0,,,,,,4.0,4.0,1.0,1.0,1.0,1.0,0.0,61.0,70.0,86.0,59.0,91.0,80.0,74.5,2,62.0,65.0,62.0,No,2,89.50257
21,1730187.0,15.0,4.0,4.0,1.0,1.0,0.0,0,1,1,,,,,,5.0,4.0,2.0,1.0,1.0,5.0,0.0,85.0,13.0,40.0,18.0,17.0,35.0,34.66666667,1,79.0,76.0,79.0,No,1,46.631577
22,1520105.0,16.0,4.0,2.0,1.0,2.0,0.0,0,0,0,,,,,,4.0,5.0,1.0,1.0,3.0,5.0,2.0,92.0,3.0,69.0,39.0,31.0,25.0,43.16666667,1,69.8,60.8,69.8,No,1,109.12327
23,830298.0,16.0,2.0,2.0,2.0,2.0,0.0,0,1,0,,,,,,5.0,4.0,4.0,2.0,4.0,5.0,0.0,19.0,41.0,14.0,98.0,68.0,67.0,51.16666667,1,77.4,60.0,77.4,No,1,57.941116
